variant,stage,dataset,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn,is_terminal_output
final_model,error_pattern_correction,train,0.7475086367260165,0.3682569655937739,0.5222551928783383,0.6781823013553017,0.2352941176470588,0.9056603773584906,0.4507042253521127,0.3735408560311284,0.576923076923077,0.2654304602716121,0.3,48,156,128,5,1
final_model,error_pattern_correction,tuning,0.6973159712994951,0.301501106557364,0.5608308605341247,0.6780494286473558,0.2432432432432432,0.8490566037735849,0.5070422535211268,0.3781512605042016,0.5667506297229219,0.2605313720894361,0.3,45,140,144,8,1
final_model,error_pattern_correction,validation,0.7473290598290598,0.3536202781024369,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769232,0.5,0.3934426229508196,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
final_model,error_pattern_correction,test,0.7761752136752137,0.3323282895840095,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769232,0.5,0.3934426229508196,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1,1
final_model,error_pattern_correction,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.1428571428571428,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.1147078669352808,0.3,1,6,13,1,1
without_guardrail,upstream_fusion,train,0.810124900345469,0.4783294054421315,0.543026706231454,0.6905062450172734,0.2436548223350254,0.9056603773584906,0.4753521126760563,0.384,0.5867970660146701,0.2814745843535218,0.29,48,149,135,5,1
without_guardrail,upstream_fusion,tuning,0.6914695721498805,0.3122701668998656,0.56973293768546,0.683331118788201,0.2472527472527472,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.2678315570839559,0.29,45,137,147,8,1
without_guardrail,upstream_fusion,validation,0.735042735042735,0.3353317856504966,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769232,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.3256591666807346,0.29,12,34,38,1,1
without_guardrail,upstream_fusion,test,0.6634615384615385,0.2129746688260389,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769232,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.3256591666807346,0.29,12,34,38,1,1
without_guardrail,upstream_fusion,external,0.4736842105263158,0.2166666666666666,0.5714285714285714,0.5394736842105263,0.1111111111111111,0.5,0.5789473684210527,0.1818181818181818,0.2941176470588235,0.0468292905790847,0.29,1,8,11,1,1
