method,dataset,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
upstream_fusion,train,0.788499867127292,0.43426588493523566,0.5370919881305638,0.68698511825671,0.24120603015075376,0.9056603773584906,0.46830985915492956,0.38095238095238093,0.583941605839416,0.27686500301311884,0.17,48,151,133,5
upstream_fusion,tuning,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.3776824034334764,0.5612244897959183,0.2563942391390683,0.17,44,136,148,9
upstream_fusion,validation,0.7857905982905984,0.41358033307002995,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.17,12,34,38,1
upstream_fusion,test,0.6736111111111112,0.22449408178595515,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.17,12,34,38,1
upstream_fusion,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.14285714285714285,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.11470786693528089,0.17,1,6,13,1
regional_probability_adjustment,train,0.788499867127292,0.43426588493523566,0.5370919881305638,0.68698511825671,0.24120603015075376,0.9056603773584906,0.46830985915492956,0.38095238095238093,0.583941605839416,0.27686500301311884,0.17,48,151,133,5
regional_probability_adjustment,tuning,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.3776824034334764,0.5612244897959183,0.2563942391390683,0.17,44,136,148,9
regional_probability_adjustment,validation,0.7857905982905984,0.41358033307002995,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.17,12,34,38,1
regional_probability_adjustment,test,0.6736111111111112,0.22449408178595515,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.17,12,34,38,1
regional_probability_adjustment,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.14285714285714285,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.11470786693528089,0.17,1,6,13,1
error_pattern_correction,train,0.7475086367260165,0.36825696559377397,0.5222551928783383,0.6781823013553017,0.23529411764705882,0.9056603773584906,0.4507042253521127,0.3735408560311284,0.576923076923077,0.2654304602716121,0.3,48,156,128,5
error_pattern_correction,tuning,0.6973159712994951,0.30150110655736406,0.5608308605341247,0.6780494286473558,0.24324324324324326,0.8490566037735849,0.5070422535211268,0.37815126050420167,0.5667506297229219,0.2605313720894361,0.3,45,140,144,8
error_pattern_correction,validation,0.7473290598290598,0.35362027810243696,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1
error_pattern_correction,test,0.7761752136752137,0.33232828958400956,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1
error_pattern_correction,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.14285714285714285,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.11470786693528089,0.3,1,6,13,1
local_probability_adjustment_candidate,train,0.7980334839224023,0.45009235219475197,0.6083086053412463,0.706218442731863,0.26627218934911245,0.8490566037735849,0.5633802816901409,0.40540540540540543,0.5905511811023623,0.30030088373497427,0.6371430953214771,45,124,160,8
local_probability_adjustment_candidate,tuning,0.6862211001860217,0.298890139656421,0.6142433234421365,0.6483523784214722,0.24503311258278146,0.6981132075471698,0.5985915492957746,0.3627450980392157,0.509641873278237,0.21720842582964364,0.6371430953214771,37,114,170,16
local_probability_adjustment_candidate,validation,0.7857905982905984,0.39759814671087546,0.6,0.6693376068376069,0.24390243902439024,0.7692307692307693,0.5694444444444444,0.37037037037037035,0.5376344086021506,0.24395126318795585,0.6371430953214771,10,31,41,3
local_probability_adjustment_candidate,test,0.6682692307692308,0.21942736870795887,0.5882352941176471,0.6308760683760684,0.225,0.6923076923076923,0.5694444444444444,0.33962264150943394,0.48913043478260865,0.18875215010441826,0.6371430953214771,9,31,41,4
local_probability_adjustment_candidate,external,0.5789473684210527,0.3088235294117647,0.7142857142857143,0.618421052631579,0.16666666666666666,0.5,0.7368421052631579,0.25,0.35714285714285715,0.15389675281277312,0.6371430953214771,1,5,14,1
