method,dataset,iterations,point_auc,bootstrap_mean_auc,bootstrap_std_auc,ci95_low,ci95_high
xgboost,test,1000,0.6875,0.6869086538461538,0.07183401812097737,0.5267094017094017,0.8135950854700854
logistic_regression,test,1000,0.6522435897435898,0.6503942307692308,0.06152255105596763,0.5267094017094017,0.7628739316239316
upstream_fusion,test,1000,0.6736111111111112,0.6714925213675212,0.06203047678649406,0.5469284188034188,0.7874065170940171
platt_scaling,test,1000,0.6736111111111112,0.6714925213675212,0.06203047678649406,0.5469284188034188,0.7874065170940171
isotonic_regression,test,1000,0.6789529914529914,0.6776180555555557,0.05664741086901529,0.5646100427350428,0.7826121794871793
stacking_lr,test,1000,0.6597222222222222,0.6579369658119658,0.06118806939824596,0.5363247863247863,0.7713808760683761
balanced_stacking_lr,test,1000,0.6629273504273504,0.6611004273504273,0.061656018080371244,0.5372863247863249,0.7756944444444445
mshse_selective_ensemble,test,1000,0.6581196581196581,0.6566004273504273,0.060504825234461976,0.5320512820512822,0.7702991452991452
final_model,test,1000,0.7761752136752137,0.7727435897435898,0.062244217415949675,0.6409588675213675,0.8836004273504274
xgboost,external,1000,0.7105263157894737,0.70825,0.16416026506025672,0.36776315789473685,0.9736842105263158
logistic_regression,external,1000,0.7105263157894737,0.7101842105263159,0.18151186976136277,0.3157894736842105,1.0
upstream_fusion,external,1000,0.7105263157894737,0.7101842105263159,0.18151186976136277,0.3157894736842105,1.0
platt_scaling,external,1000,0.7105263157894737,0.7101842105263159,0.18151186976136277,0.3157894736842105,1.0
isotonic_regression,external,1000,0.5789473684210527,0.5762105263157895,0.2259409135125641,0.1842105263157895,0.9736842105263157
stacking_lr,external,1000,0.7105263157894737,0.7101842105263159,0.18151186976136277,0.3157894736842105,1.0
balanced_stacking_lr,external,1000,0.7105263157894737,0.7101842105263159,0.18151186976136277,0.3157894736842105,1.0
mshse_selective_ensemble,external,1000,0.5,0.49397368421052634,0.3137285369158283,0.0,1.0
final_model,external,1000,0.7105263157894737,0.7101842105263159,0.18151186976136277,0.3157894736842105,1.0
