method,dataset,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
xgboost,validation,0.7222222222222222,0.3348320277214585,0.6,0.7323717948717949,0.26666666666666666,0.9230769230769231,0.5416666666666666,0.41379310344827586,0.6185567010309279,0.3351313685527426,0.15,12,33,39,1
logistic_regression,validation,0.7799145299145299,0.3906693945718306,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.09,12,36,36,1
upstream_fusion,validation,0.7857905982905984,0.41358033307002995,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.17,12,34,38,1
platt_scaling,validation,0.7857905982905984,0.41358033307002995,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.15,12,35,37,1
isotonic_regression,validation,0.7398504273504274,0.28498751707569836,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.11,12,34,38,1
stacking_lr,validation,0.780448717948718,0.3929115659178868,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.13,12,36,36,1
balanced_stacking_lr,validation,0.7804487179487181,0.3936136416199625,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.39,12,36,36,1
mshse_selective_ensemble,validation,0.7286324786324786,0.32768943179112475,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.25,12,35,37,1
final_model,validation,0.7473290598290598,0.35362027810243696,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1
xgboost,test,0.6875,0.26779331566111697,0.6,0.7323717948717949,0.26666666666666666,0.9230769230769231,0.5416666666666666,0.41379310344827586,0.6185567010309279,0.3351313685527426,0.15,12,33,39,1
logistic_regression,test,0.6522435897435898,0.206528129457806,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.09,12,36,36,1
upstream_fusion,test,0.6736111111111112,0.22449408178595515,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.17,12,34,38,1
platt_scaling,test,0.6736111111111112,0.22449408178595515,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.15,12,35,37,1
isotonic_regression,test,0.6789529914529914,0.22966852980253816,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.11,12,34,38,1
stacking_lr,test,0.6597222222222222,0.20995130969586825,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.13,12,36,36,1
balanced_stacking_lr,test,0.6629273504273504,0.21254535640222413,0.5529411764705883,0.7045940170940171,0.24489795918367346,0.9230769230769231,0.4861111111111111,0.3870967741935484,0.5940594059405941,0.29806539586477965,0.39,12,37,35,1
mshse_selective_ensemble,test,0.6581196581196581,0.21068268574407145,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.25,12,34,38,1
final_model,test,0.7761752136752137,0.33232828958400956,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1
xgboost,external,0.7105263157894737,0.24358974358974358,0.7142857142857143,0.618421052631579,0.16666666666666666,0.5,0.7368421052631579,0.25,0.35714285714285715,0.15389675281277312,0.15,1,5,14,1
logistic_regression,external,0.7105263157894737,0.3333333333333333,0.47619047619047616,0.48684210526315785,0.09090909090909091,0.5,0.47368421052631576,0.15384615384615385,0.26315789473684215,-0.015467205622243648,0.09,1,10,9,1
