method,dataset,bin,mean_predicted_probability,observed_positive_fraction
upstream_fusion,test,1,0.09741102274604638,0.0
upstream_fusion,test,2,0.10861048143216909,0.058823529411764705
upstream_fusion,test,3,0.20245002986936655,0.23529411764705882
upstream_fusion,test,4,0.27213102115633114,0.35294117647058826
upstream_fusion,test,5,0.3129845654386164,0.11764705882352941
platt_scaling,test,1,0.13707064277650197,0.0
platt_scaling,test,2,0.139621359984733,0.058823529411764705
platt_scaling,test,3,0.16303834743443363,0.23529411764705882
platt_scaling,test,4,0.1816083030309197,0.35294117647058826
platt_scaling,test,5,0.1939475445393665,0.11764705882352941
isotonic_regression,test,1,0.05343849867321763,0.030303030303030304
isotonic_regression,test,2,0.06666666666666667,0.0
isotonic_regression,test,3,0.20654997176736298,0.2608695652173913
isotonic_regression,test,4,0.39999999999999997,0.0
