method,dataset,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn,positive_to_negative_ratio
no_oversampling,train,0.748139782088759,0.3919277453886283,0.5044510385756676,0.6676189210736114,0.22857142857142856,0.9056603773584906,0.4295774647887324,0.3650190114068441,0.5687203791469194,0.2518480737444247,0.27,48,162,122,5,
no_oversampling,tuning,0.7123305872973691,0.3194406290447918,0.5252225519287834,0.6645960669678448,0.23115577889447236,0.8679245283018868,0.4612676056338028,0.36507936507936506,0.559610705596107,0.24371399714514191,0.27,46,153,131,7,
no_oversampling,validation,0.7126068376068376,0.333970127747536,0.5294117647058824,0.6907051282051282,0.23529411764705882,0.9230769230769231,0.4583333333333333,0.375,0.5825242718446603,0.2802242691589025,0.27,12,39,33,1,
no_oversampling,test,0.7708333333333334,0.3261771797206303,0.5176470588235295,0.6837606837606838,0.23076923076923078,0.9230769230769231,0.4444444444444444,0.36923076923076925,0.576923076923077,0.27143251856981065,0.27,12,40,32,1,
no_oversampling,external,0.631578947368421,0.31666666666666665,0.5238095238095238,0.513157894736842,0.1,0.5,0.5263157894736842,0.16666666666666666,0.2777777777777778,0.015467205622243648,0.27,1,9,10,1,
positive_negative_0_25,train,0.7482394366197183,0.37304736260521687,0.5222551928783383,0.6781823013553017,0.23529411764705882,0.9056603773584906,0.4507042253521127,0.3735408560311284,0.576923076923077,0.2654304602716121,0.26,48,156,128,5,0.25
positive_negative_0_25,tuning,0.6975817167153867,0.3017332101604186,0.5578635014836796,0.6762888652670742,0.24193548387096775,0.8490566037735849,0.5035211267605634,0.37656903765690375,0.5653266331658291,0.25811131121314795,0.26,45,141,143,8,0.25
positive_negative_0_25,validation,0.7473290598290598,0.35362027810243696,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.26,12,36,36,1,0.25
positive_negative_0_25,test,0.7761752136752137,0.33232828958400956,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.26,12,36,36,1,0.25
positive_negative_0_25,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.14285714285714285,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.11470786693528089,0.26,1,6,13,1,0.25
positive_negative_0_50,train,0.7576401807068829,0.38271570319771603,0.5192878338278932,0.6764217379750199,0.23414634146341465,0.9056603773584906,0.4471830985915493,0.37209302325581395,0.5755395683453237,0.2631572264312922,0.27,48,157,127,5,0.5
positive_negative_0_50,tuning,0.7094738240765347,0.30575394185470717,0.5489614243323442,0.6710071751262291,0.23809523809523808,0.8490566037735849,0.49295774647887325,0.371900826446281,0.5610972568578554,0.2508878753139311,0.27,45,144,140,8,0.5
positive_negative_0_50,validation,0.7361111111111112,0.35424413085701484,0.5411764705882353,0.6976495726495726,0.24,0.9230769230769231,0.4722222222222222,0.38095238095238093,0.5882352941176471,0.2890977924120722,0.27,12,38,34,1,0.5
positive_negative_0_50,test,0.7478632478632479,0.29123546044598675,0.5529411764705883,0.7045940170940171,0.24489795918367346,0.9230769230769231,0.4861111111111111,0.3870967741935484,0.5940594059405941,0.29806539586477965,0.27,12,37,35,1,0.5
positive_negative_0_50,external,0.6842105263157895,0.3269230769230769,0.5238095238095238,0.513157894736842,0.1,0.5,0.5263157894736842,0.16666666666666666,0.2777777777777778,0.015467205622243648,0.27,1,9,10,1,0.5
full_balance_1_00,train,0.7595668349720966,0.36698327239909967,0.5341246290801187,0.6852245548764284,0.24,0.9056603773584906,0.4647887323943662,0.3794466403162055,0.5825242718446602,0.27456828993668686,0.43,48,152,132,5,1.0
full_balance_1_00,tuning,0.7071485516874835,0.2963254178007117,0.5667655786350149,0.6815705554079192,0.2459016393442623,0.8490566037735849,0.5140845070422535,0.3813559322033898,0.569620253164557,0.26539126054521206,0.43,45,138,146,8,1.0
full_balance_1_00,validation,0.7264957264957265,0.34657468535487385,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.43,12,36,36,1,1.0
full_balance_1_00,test,0.7361111111111112,0.2769837961087649,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.43,12,35,37,1,1.0
full_balance_1_00,external,0.736842105263158,0.34090909090909094,0.6190476190476191,0.5657894736842105,0.125,0.5,0.631578947368421,0.2,0.3125,0.07953559537197222,0.43,1,7,12,1,1.0
