variant,family,member_id
guardrail,xgb,xgb_member_04
guardrail,lr,lr_member_01
all_13_family_means,xgb,xgb_member_01
all_13_family_means,xgb,xgb_member_02
all_13_family_means,xgb,xgb_member_03
all_13_family_means,xgb,xgb_member_04
all_13_family_means,xgb,xgb_member_05
all_13_family_means,lr,lr_member_01
all_13_family_means,lr,lr_member_02
all_13_family_means,lr,lr_member_03
all_13_family_means,lr,lr_member_04
all_13_family_means,cat,cat_member_01
all_13_family_means,cat,cat_member_02
all_13_family_means,cat,cat_member_03
all_13_family_means,cat,cat_member_04
all_13_equal_mean,xgb,xgb_member_01
all_13_equal_mean,xgb,xgb_member_02
all_13_equal_mean,xgb,xgb_member_03
all_13_equal_mean,xgb,xgb_member_04
all_13_equal_mean,xgb,xgb_member_05
all_13_equal_mean,lr,lr_member_01
all_13_equal_mean,lr,lr_member_02
all_13_equal_mean,lr,lr_member_03
all_13_equal_mean,lr,lr_member_04
all_13_equal_mean,cat,cat_member_01
all_13_equal_mean,cat,cat_member_02
all_13_equal_mean,cat,cat_member_03
all_13_equal_mean,cat,cat_member_04
single_metric_auroc,xgb,xgb_member_01
single_metric_auroc,lr,lr_member_01
single_metric_auroc,cat,cat_member_01
single_metric_f2,xgb,xgb_member_03
single_metric_f2,lr,lr_member_02
single_metric_f2,cat,cat_member_01
single_metric_recall,xgb,xgb_member_01
single_metric_recall,lr,lr_member_01
single_metric_recall,cat,cat_member_01
