method,dataset,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
guardrail,train,0.7475086367260165,0.36825696559377397,0.5222551928783383,0.6781823013553017,0.23529411764705882,0.9056603773584906,0.4507042253521127,0.3735408560311284,0.576923076923077,0.2654304602716121,0.3,48,156,128,5
guardrail,tuning,0.6973159712994951,0.30150110655736406,0.5608308605341247,0.6780494286473558,0.24324324324324326,0.8490566037735849,0.5070422535211268,0.37815126050420167,0.5667506297229219,0.2605313720894361,0.3,45,140,144,8
guardrail,validation,0.7473290598290598,0.35362027810243696,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1
guardrail,test,0.7761752136752137,0.33232828958400956,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1
guardrail,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.14285714285714285,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.11470786693528089,0.3,1,6,13,1
all_13_family_means,train,0.794445920807866,0.44753509213530074,0.5400593471810089,0.6887456816369918,0.24242424242424243,0.9056603773584906,0.47183098591549294,0.38247011952191234,0.5853658536585366,0.2791670319832558,0.51,48,150,134,5
all_13_family_means,tuning,0.707414297103375,0.30962434077808393,0.5667655786350149,0.6815705554079192,0.2459016393442623,0.8490566037735849,0.5140845070422535,0.3813559322033898,0.569620253164557,0.26539126054521206,0.51,45,138,146,8
all_13_family_means,validation,0.7286324786324787,0.30531448080569346,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.51,12,34,38,1
all_13_family_means,test,0.7083333333333334,0.2744918098787509,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.51,12,35,37,1
all_13_family_means,external,0.4736842105263158,0.2976190476190476,0.5238095238095238,0.513157894736842,0.1,0.5,0.5263157894736842,0.16666666666666666,0.2777777777777778,0.015467205622243648,0.51,1,9,10,1
all_13_equal_mean,train,0.7752458145096996,0.42411895268903993,0.5370919881305638,0.68698511825671,0.24120603015075376,0.9056603773584906,0.46830985915492956,0.38095238095238093,0.583941605839416,0.27686500301311884,0.26,48,151,133,5
all_13_equal_mean,tuning,0.7079457879351582,0.31525371632223875,0.5608308605341247,0.6780494286473558,0.24324324324324326,0.8490566037735849,0.5070422535211268,0.37815126050420167,0.5667506297229219,0.2605313720894361,0.26,45,140,144,8
all_13_equal_mean,validation,0.6997863247863249,0.3205026890045307,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.26,12,35,37,1
all_13_equal_mean,test,0.7649572649572649,0.30421616170604027,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.26,12,35,37,1
all_13_equal_mean,external,0.5,0.3,0.5714285714285714,0.5394736842105263,0.1111111111111111,0.5,0.5789473684210527,0.18181818181818182,0.29411764705882354,0.046829290579084706,0.26,1,8,11,1
single_metric_auroc,train,0.7688014881743289,0.35276553082305123,0.5459940652818991,0.6922668083975552,0.24489795918367346,0.9056603773584906,0.4788732394366197,0.3855421686746988,0.5882352941176471,0.2837878681914655,0.5,48,148,136,5
single_metric_auroc,tuning,0.7197714589423333,0.31718415927515653,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.38095238095238093,0.564102564102564,0.26133963125160825,0.5,44,134,150,9
single_metric_auroc,validation,0.7003205128205128,0.3686399663158837,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.5,12,34,38,1
single_metric_auroc,test,0.7745726495726496,0.39185297251334983,0.6,0.7323717948717949,0.26666666666666666,0.9230769230769231,0.5416666666666666,0.41379310344827586,0.6185567010309279,0.3351313685527426,0.5,12,33,39,1
single_metric_auroc,external,0.4210526315789474,0.17261904761904762,0.7142857142857143,0.618421052631579,0.16666666666666666,0.5,0.7368421052631579,0.25,0.35714285714285715,0.15389675281277312,0.5,1,5,14,1
single_metric_f2,train,0.7771724687749135,0.4518236219346761,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.75,45,137,147,8
single_metric_f2,tuning,0.7191070954026043,0.34686457457401626,0.6053412462908012,0.6814376826999735,0.25609756097560976,0.7924528301886793,0.5704225352112676,0.3870967741935484,0.5585106382978724,0.264307578220762,0.75,42,122,162,11
single_metric_f2,validation,0.7516025641025642,0.3265395043705577,0.6235294117647059,0.7147435897435898,0.2682926829268293,0.8461538461538461,0.5833333333333334,0.4074074074074074,0.5913978494623655,0.3093640624654834,0.75,11,30,42,2
single_metric_f2,test,0.7318376068376069,0.39954346348834036,0.5882352941176471,0.6623931623931625,0.23809523809523808,0.7692307692307693,0.5555555555555556,0.36363636363636365,0.5319148936170213,0.23381737809340278,0.75,10,32,40,3
single_metric_f2,external,0.4736842105263158,0.21666666666666667,0.7142857142857143,0.618421052631579,0.16666666666666666,0.5,0.7368421052631579,0.25,0.35714285714285715,0.15389675281277312,0.75,1,5,14,1
single_metric_recall,train,0.770063778899814,0.3656368795735124,0.5459940652818991,0.6922668083975552,0.24489795918367346,0.9056603773584906,0.4788732394366197,0.3855421686746988,0.5882352941176471,0.2837878681914655,0.62,48,148,136,5
single_metric_recall,tuning,0.7214323677916556,0.3230594945526919,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.38095238095238093,0.564102564102564,0.26133963125160825,0.62,44,134,150,9
single_metric_recall,validation,0.703525641025641,0.3583835560594735,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169492,0.6122448979591837,0.32565916668073464,0.62,12,34,38,1
single_metric_recall,test,0.7756410256410257,0.3922158172158172,0.6,0.7323717948717949,0.26666666666666666,0.9230769230769231,0.5416666666666666,0.41379310344827586,0.6185567010309279,0.3351313685527426,0.62,12,33,39,1
single_metric_recall,external,0.4210526315789474,0.17261904761904762,0.7142857142857143,0.618421052631579,0.16666666666666666,0.5,0.7368421052631579,0.25,0.35714285714285715,0.15389675281277312,0.62,1,5,14,1
