method,dataset,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
semantic_candidate_fixed,tuning,0.692997608291257,0.2980808134588828,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.37037037037037035,0.5597014925373135,0.24849154462718992,0.27,45,145,139,8
semantic_candidate_fixed,validation,0.750534188034188,0.36481394669784195,0.5529411764705883,0.7045940170940171,0.24489795918367346,0.9230769230769231,0.4861111111111111,0.3870967741935484,0.5940594059405941,0.29806539586477965,0.27,12,37,35,1
semantic_candidate_fixed,test,0.7313034188034188,0.27064461050550015,0.5529411764705883,0.7045940170940171,0.24489795918367346,0.9230769230769231,0.4861111111111111,0.3870967741935484,0.5940594059405941,0.29806539586477965,0.27,12,37,35,1
semantic_candidate_fixed,external,0.7105263157894737,0.3333333333333333,0.5238095238095238,0.513157894736842,0.1,0.5,0.5263157894736842,0.16666666666666666,0.2777777777777778,0.015467205622243648,0.27,1,9,10,1
gated_final_model,tuning,0.6973159712994951,0.30150110655736406,0.5608308605341247,0.6780494286473558,0.24324324324324326,0.8490566037735849,0.5070422535211268,0.37815126050420167,0.5667506297229219,0.2605313720894361,0.3,45,140,144,8
gated_final_model,validation,0.7473290598290598,0.35362027810243696,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1
gated_final_model,test,0.7761752136752137,0.33232828958400956,0.5647058823529412,0.7115384615384616,0.25,0.9230769230769231,0.5,0.39344262295081966,0.6000000000000001,0.3071395763081003,0.3,12,36,36,1
gated_final_model,external,0.7105263157894737,0.3333333333333333,0.6666666666666666,0.5921052631578947,0.14285714285714285,0.5,0.6842105263157895,0.2222222222222222,0.3333333333333333,0.11470786693528089,0.3,1,6,13,1
bayesian_expanded_candidates,tuning,0.7064841881477544,0.31801166907900463,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.3776824034334764,0.5612244897959183,0.2563942391390683,0.39,44,136,148,9
bayesian_expanded_candidates,validation,0.7537393162393162,0.3503176283119318,0.5647058823529412,0.6800213675213675,0.2391304347826087,0.8461538461538461,0.5138888888888888,0.3728813559322034,0.5612244897959183,0.26006431083271936,0.39,11,35,37,2
bayesian_expanded_candidates,test,0.6543803418803419,0.20599377495764135,0.5882352941176471,0.6939102564102564,0.25,0.8461538461538461,0.5416666666666666,0.38596491228070173,0.5729166666666666,0.2793511310322649,0.39,11,33,39,2
bayesian_expanded_candidates,external,0.5263157894736842,0.3026315789473684,0.7142857142857143,0.618421052631579,0.16666666666666666,0.5,0.7368421052631579,0.25,0.35714285714285715,0.15389675281277312,0.39,1,5,14,1
genetic_evidence_candidates,tuning,0.6943927717246877,0.2945005831441999,0.5311572700296736,0.6681171937284082,0.233502538071066,0.8679245283018868,0.46830985915492956,0.368,0.5623471882640587,0.2483945721731777,0.25,46,151,133,7
genetic_evidence_candidates,validation,0.7879273504273505,0.3530064940877039,0.5411764705882353,0.6976495726495726,0.24,0.9230769230769231,0.4722222222222222,0.38095238095238093,0.5882352941176471,0.2890977924120722,0.25,12,38,34,1
genetic_evidence_candidates,test,0.7259615384615384,0.319564038794808,0.5411764705882353,0.6976495726495726,0.24,0.9230769230769231,0.4722222222222222,0.38095238095238093,0.5882352941176471,0.2890977924120722,0.25,12,38,34,1
genetic_evidence_candidates,external,0.631578947368421,0.23809523809523808,0.5238095238095238,0.513157894736842,0.1,0.5,0.5263157894736842,0.16666666666666666,0.2777777777777778,0.015467205622243648,0.25,1,9,10,1
genetic_expanded_candidates,tuning,0.7089423332447515,0.31124934353283173,0.5934718100890207,0.682068828062716,0.2529411764705882,0.8113207547169812,0.5528169014084507,0.38565022421524664,0.5628272251308901,0.26514289933961666,0.24,43,127,157,10
genetic_expanded_candidates,validation,0.7430555555555556,0.3188158523398798,0.5529411764705883,0.641559829059829,0.2222222222222222,0.7692307692307693,0.5138888888888888,0.3448275862068966,0.5154639175257733,0.2041604888884524,0.24,10,35,37,3
genetic_expanded_candidates,test,0.6554487179487178,0.20692554994620072,0.5882352941176471,0.6939102564102564,0.25,0.8461538461538461,0.5416666666666666,0.38596491228070173,0.5729166666666666,0.2793511310322649,0.24,11,33,39,2
genetic_expanded_candidates,external,0.5526315789473684,0.5526315789473684,0.7142857142857143,0.618421052631579,0.16666666666666666,0.5,0.7368421052631579,0.25,0.35714285714285715,0.15389675281277312,0.24,1,5,14,1
