trial,generation,rule_index,feature,rule_type,split_value,threshold_group,threshold_other,objective,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
51,4,112,年龄,numeric_le,61.0,0.5,0.3609052440974643,0.8407320694313877,0.7089423332447515,0.31124934353283173,0.5934718100890207,0.682068828062716,0.2529411764705882,0.8113207547169812,0.5528169014084507,0.38565022421524664,0.5628272251308901,0.26514289933961666,0.24
44,3,112,年龄,numeric_le,61.0,0.49198508958854953,0.3478391254644494,0.8399813581162856,0.7091416423066703,0.31059456423177856,0.5845697329376854,0.6767871379218708,0.24855491329479767,0.8113207547169812,0.5422535211267606,0.3805309734513274,0.5584415584415584,0.2575329423820753,0.24
60,4,112,年龄,numeric_le,61.0,0.41904591720797296,0.331392075806803,0.8384728614476096,0.7057533882540526,0.31888656128505805,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.28
56,4,112,年龄,numeric_le,61.0,0.49974657658014293,0.31531871990024474,0.8383349454039948,0.7088758968907786,0.3036912277497831,0.5845697329376854,0.6767871379218708,0.24855491329479767,0.8113207547169812,0.5422535211267606,0.3805309734513274,0.5584415584415584,0.2575329423820753,0.24
21,1,206,bmi,numeric_le,25.23634033,0.38489182549102074,0.2769158681567819,0.8349360154857658,0.7062184427318628,0.30290639295887956,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.25
39,3,206,bmi,numeric_le,25.23634033,0.40485213858290225,0.29319987382475493,0.8339334588105248,0.7060191336699443,0.3027594722919011,0.5519287833827893,0.6650943396226415,0.23655913978494625,0.8301886792452831,0.5,0.3682008368200837,0.5527638190954774,0.24172097545305168,0.24
33,2,206,bmi,numeric_le,25.23634033,0.37599626390664603,0.32251171466629375,0.8332689775617592,0.7026308796173266,0.3099198924647524,0.5489614243323442,0.6710071751262291,0.23809523809523808,0.8490566037735849,0.49295774647887325,0.371900826446281,0.5610972568578554,0.2508878753139311,0.22
47,3,2,体重,numeric_gt,56.0,0.4735697874349826,0.36417632195697314,0.8328456053465697,0.6966516077597661,0.3402317590602581,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.18
25,2,112,年龄,numeric_le,61.0,0.4805309702390069,0.28524110375609163,0.8320760171624156,0.7046904065904862,0.2987031581439656,0.5727002967359051,0.6697448844007441,0.24293785310734464,0.8113207547169812,0.528169014084507,0.3739130434782609,0.5526992287917738,0.24750112127917584,0.25
53,4,206,bmi,numeric_le,25.23634033,0.39380666480168797,0.34490252140724054,0.8315884463198532,0.7011028434759501,0.3090467133361496,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.24
50,4,206,bmi,numeric_le,25.23634033,0.33465122560782334,0.22869493632264895,0.830369039496085,0.7037602976348658,0.3000100800505139,0.5786350148367952,0.6655926122774383,0.24277456647398843,0.7924528301886793,0.5387323943661971,0.37168141592920356,0.5454545454545455,0.24122542611323664,0.36
42,3,206,bmi,numeric_le,25.23634033,0.3242623176962777,0.28378195753264157,0.8297218214056018,0.6996412436885464,0.3070215877019109,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.3
57,4,206,bmi,numeric_le,25.23634033,0.4329094438265895,0.3057091699800187,0.8279188115186814,0.7019665160775976,0.29806504859923544,0.5756676557863502,0.6638320488971565,0.2413793103448276,0.7924528301886793,0.5352112676056338,0.3700440528634361,0.5440414507772021,0.2387028128703296,0.27
54,4,206,bmi,numeric_le,25.23634033,0.44998912228620297,0.3063115531469561,0.8251771626093152,0.7002391708743024,0.2956713820267459,0.5519287833827893,0.6574209407387723,0.23369565217391305,0.8113207547169812,0.5035211267605634,0.3628691983122363,0.5429292929292929,0.23021572073468463,0.23
31,2,206,bmi,numeric_le,25.23634033,0.4348081083368982,0.28778880826718006,0.8231671491893296,0.6983125166090884,0.2926497707220573,0.5578635014836796,0.6609420674993356,0.23626373626373626,0.8113207547169812,0.5105633802816901,0.3659574468085106,0.5456852791878173,0.23512301034096153,0.25
37,3,112,年龄,numeric_le,61.0,0.49485168774402644,0.27579213968624905,0.8221734226868691,0.6984453893170343,0.2935185109054735,0.5786350148367952,0.657919213393569,0.23976608187134502,0.7735849056603774,0.5422535211267606,0.3660714285714286,0.5352480417754569,0.22999054022389062,0.25
58,4,2,体重,numeric_gt,56.0,0.3663092099938554,0.3186049790089312,0.8201225353572185,0.6874833909115069,0.31981442134519183,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.26
52,4,206,bmi,numeric_le,25.23634033,0.4489226233842294,0.28394949541485626,0.8193655979361081,0.6955886260961999,0.2859515669827861,0.5608308605341247,0.6627026308796173,0.23756906077348067,0.8113207547169812,0.5140845070422535,0.36752136752136755,0.5470737913486006,0.2375855861698201,0.25
55,4,30,身高,numeric_gt,157.0,0.3799696834796736,0.3526397812658439,0.8131622743375245,0.6828328461334042,0.3082658401372358,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.25
59,4,157,体重,numeric_le,62.0,0.43461115765940017,0.3435111165899388,0.8105970421778992,0.6833643369651873,0.2941898936381056,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.2
23,1,85,bmi,numeric_gt,25.40281608,0.4581030252511405,0.47182941351617314,0.8103907699505603,0.6828992824873771,0.2967192084421559,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.18
19,1,40,身高,numeric_gt,167.0,0.4374919827702479,0.28189313505595703,0.8093337525502646,0.6809726282221631,0.3035807269248264,0.5727002967359051,0.6697448844007441,0.24293785310734464,0.8113207547169812,0.528169014084507,0.3739130434782609,0.5526992287917738,0.24750112127917584,0.29
46,3,40,身高,numeric_gt,167.0,0.5,0.3496053807584647,0.8089185029209407,0.6805075737443529,0.30249340332660524,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126,0.24
28,2,40,身高,numeric_gt,167.0,0.4439563646827724,0.3488952284576245,0.8087513189800264,0.6806404464522987,0.3009931200823044,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126,0.28
32,2,40,身高,numeric_gt,167.0,0.39580981704089196,0.21851218071921863,0.8086718460508312,0.6815041190539464,0.3042152428052751,0.5578635014836796,0.6609420674993356,0.23626373626373626,0.8113207547169812,0.5105633802816901,0.3659574468085106,0.5456852791878173,0.23512301034096153,0.32
20,1,40,身高,numeric_gt,167.0,0.41528685845268326,0.2667711358068596,0.8084242430380945,0.6809061918681901,0.30334195200707226,0.5637982195845698,0.6644631942598991,0.2388888888888889,0.8113207547169812,0.5176056338028169,0.36909871244635195,0.548469387755102,0.24005443985959288,0.3
41,3,40,身高,numeric_gt,167.0,0.4280648663652332,0.284057615134462,0.8078559151781638,0.6805075737443529,0.30249340332660524,0.5637982195845698,0.6644631942598991,0.2388888888888889,0.8113207547169812,0.5176056338028169,0.36909871244635195,0.548469387755102,0.24005443985959288,0.28
48,3,206,bmi,numeric_le,25.23634033,0.4875555421015857,0.2766967999523989,0.8071496547801154,0.6864204092479405,0.2799408225698462,0.4065281899109792,0.6248671272920542,0.20242914979757085,0.9433962264150944,0.30633802816901406,0.33333333333333337,0.5446623093681917,0.20549700162773074,0.18
16,1,35,身高,numeric_gt,162.0,0.4207541713275045,0.38263148966297134,0.806165236145153,0.6771857560457083,0.3015160996138579,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.22
26,2,85,bmi,numeric_gt,25.40281608,0.39223531629491426,0.3981642063336956,0.8059432602230889,0.678514483125166,0.29243308080688823,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.24
7,0,35,身高,numeric_gt,162.0,0.4504555460623604,0.42648771660490536,0.805135859043396,0.6763885197980335,0.3003553953434465,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.2
13,1,35,身高,numeric_gt,162.0,0.46866129296236,0.44875442379407987,0.8046650276067625,0.6759899016741961,0.29999432877946614,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.19
40,3,114,年龄,numeric_le,63.0,0.4461267910209431,0.236414903941048,0.8037335253905359,0.6837961732660112,0.2732276013348561,0.5816023738872403,0.6596797767738507,0.2411764705882353,0.7735849056603774,0.545774647887324,0.36771300448430494,0.5366492146596858,0.2325382078316981,0.29
35,2,40,身高,numeric_gt,167.0,0.4108698372326298,0.37308204996284955,0.8028058259558388,0.675458410842413,0.2959988466933695,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.22
8,0,40,身高,numeric_gt,167.0,0.38712104505196887,0.12202435737767013,0.8010835873594271,0.675524847196386,0.3023383965252114,0.6142433234421365,0.6636991761892107,0.25161290322580643,0.7358490566037735,0.5915492957746479,0.37499999999999994,0.5313351498637601,0.23915091743245787,0.6
14,1,40,身高,numeric_gt,167.0,0.4468532559105354,0.12,0.8010835873594271,0.675524847196386,0.3023383965252114,0.6142433234421365,0.6636991761892107,0.25161290322580643,0.7358490566037735,0.5915492957746479,0.37499999999999994,0.5313351498637601,0.23915091743245787,0.6
34,2,85,bmi,numeric_gt,25.40281608,0.39056382211693347,0.3830242015330197,0.8007893853223745,0.6756577199043315,0.2849768562795796,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.17
18,1,15,体重,numeric_gt,68.0,0.47720312059620207,0.39880634014460037,0.8007174636356443,0.6759234653202232,0.28454550571485526,0.5578635014836796,0.6686154663832049,0.2391304347826087,0.8301886792452831,0.5070422535211268,0.3713080168776372,0.5555555555555556,0.24658683233788967,0.17
17,1,15,体重,numeric_gt,68.0,0.46218161589391216,0.40607297566337974,0.798889435367714,0.6739968110550094,0.2824059833765248,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.19
11,0,15,体重,numeric_gt,68.0,0.44687972283876226,0.40795695170276736,0.7986718290693181,0.6739303747010364,0.28165013365441066,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.2
38,3,9,体重,numeric_gt,63.0,0.5,0.2912306538820788,0.798254031749878,0.6745283018867925,0.28179566865772576,0.5341246290801187,0.6622043582248206,0.23195876288659795,0.8490566037735849,0.4753521126760563,0.3643724696356275,0.5541871921182266,0.23895753839435532,0.22
9,0,186,bmi,numeric_le,21.29529475,0.4824170123919706,0.3719930982983154,0.7975092277538817,0.6726016476215785,0.28514387090851556,0.5400593471810089,0.665725484985384,0.234375,0.8490566037735849,0.4823943661971831,0.3673469387755102,0.556930693069307,0.24371473287338627,0.18
22,1,186,bmi,numeric_le,21.29529475,0.5,0.3831914063260258,0.7956660029652349,0.6717379750199309,0.2840809305340788,0.5311572700296736,0.660443794844539,0.23076923076923078,0.8490566037735849,0.47183098591549294,0.36290322580645157,0.5528255528255529,0.23658573111865971,0.17
10,0,180,bmi,numeric_le,20.95717116,0.45551927782952023,0.3711976895343877,0.7947534493041908,0.6696120116927984,0.2863131583039621,0.5400593471810089,0.665725484985384,0.234375,0.8490566037735849,0.4823943661971831,0.3673469387755102,0.556930693069307,0.24371473287338627,0.18
45,3,206,bmi,numeric_le,25.23634033,0.3105551456414772,0.32754478189578173,0.7926215778373192,0.6694127026308796,0.27661989016994776,0.5578635014836796,0.6686154663832049,0.2391304347826087,0.8301886792452831,0.5070422535211268,0.3713080168776372,0.5555555555555556,0.24658683233788967,0.26
2,0,168,体重,numeric_le,72.0,0.3442357862251121,0.36809833278980486,0.7923455588454413,0.6690805208610152,0.2769007040598802,0.5578635014836796,0.6686154663832049,0.2391304347826087,0.8301886792452831,0.5070422535211268,0.3713080168776372,0.5555555555555556,0.24658683233788967,0.23
36,2,85,bmi,numeric_gt,25.40281608,0.4889717301120716,0.3661396109328665,0.7921699699450032,0.6692133935689609,0.2805345780377622,0.5637982195845698,0.6644631942598991,0.2388888888888889,0.8113207547169812,0.5176056338028169,0.36909871244635195,0.548469387755102,0.24005443985959288,0.22
3,0,105,年龄,numeric_le,54.0,0.47154503431077266,0.27167635433337245,0.7920791472746513,0.6698777571086899,0.2662961461470808,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.26
