rank,feature_chinese,feature_english,mean_abs_shap,mean_shap,median_abs_shap,test_unique_values,test_min,test_max
1,性别,Sex (male = 1),0.08155662317663011,-0.00990844240399589,0.07165461582072022,2,0.0,1.0
2,右肺下叶,Right lower lobe,0.008737188921294888,-0.00013479805549376344,0.008020668391411773,2,0.0,1.0
3,bmi,BMI,0.004409636839042274,0.0015198427009723051,0.0036951316944243877,74,16.9550173,33.984375
4,放化疗史,Radiotherapy/chemotherapy history,0.004044155437266853,0.004044155437266853,0.0,2,0.0,1.0
5,左肺下叶,Left lower lobe,0.003982174622006802,0.0011075932725393498,0.0018102683676342157,2,0.0,1.0
6,右肺上叶,Right upper lobe,0.003772837742083786,-0.0010010418767646152,0.003230479978378767,2,0.0,1.0
7,右肺中叶,Right middle lobe,0.003016340711629605,0.0004071660264734802,0.00241285961461577,2,0.0,1.0
8,肺部手术史,History of pulmonary surgery,0.0028857638239487356,-0.0006944573859705951,0.0012669238514790959,2,0.0,1.0
9,胸部外伤史,History of chest trauma,0.0020408775890966564,-0.00024632364047801286,0.001026270125065004,2,0.0,1.0
10,体重,Weight,0.0020283856063829458,0.0010643267271678912,0.0024367795092985036,30,43.0,95.0
11,甲状腺手术史,History of thyroid surgery,0.0013174731317460002,0.0013174731317460002,0.0,2,0.0,1.0
12,年龄,Age,0.000933042979371373,5.4270307413443775e-05,0.001152111729606986,37,33.0,78.0
13,身高,Height,0.0007835415114754295,-0.0002423264497621069,0.0004429500084370375,23,150.0,182.0
14,高血压,Hypertension,1.6217818656643853e-11,1.6217818656643853e-11,0.0,2,0.0,1.0
15,左肺上叶,Left upper lobe,0.0,0.0,0.0,2,0.0,1.0
16,甲状腺疾病,Thyroid disease,0.0,0.0,0.0,1,0.0,0.0
17,纵隔肿物,Mediastinal mass,0.0,0.0,0.0,2,0.0,1.0
18,结核病史,History of tuberculosis,0.0,0.0,0.0,2,0.0,1.0
19,冠心病,Coronary heart disease,0.0,0.0,0.0,2,0.0,1.0
20,糖尿病,Diabetes mellitus,0.0,0.0,0.0,2,0.0,1.0
