dataset,feature,mean,std,median,q1,q3,min,max,positive_mean,negative_mean
train,右肺上叶,0.5816023738872403,0.494029636660707,1.0,0.0,1.0,0.0,1.0,0.660377358490566,0.5669014084507042
train,右肺中叶,0.18100890207715134,0.3855980858991493,0.0,0.0,0.0,0.0,1.0,0.18867924528301888,0.1795774647887324
train,右肺下叶,0.3560830860534125,0.4795522144766882,0.0,0.0,1.0,0.0,1.0,0.24528301886792453,0.3767605633802817
train,左肺上叶,0.020771513353115726,0.14283064612263746,0.0,0.0,0.0,0.0,1.0,0.018867924528301886,0.02112676056338028
train,左肺下叶,0.02373887240356083,0.1524608558346044,0.0,0.0,0.0,0.0,1.0,0.03773584905660377,0.02112676056338028
train,纵隔肿物,0.06231454005934718,0.2420854007293518,0.0,0.0,0.0,0.0,1.0,0.05660377358490566,0.06338028169014084
train,高血压,0.2551928783382789,0.43661786053665536,0.0,0.0,1.0,0.0,1.0,0.20754716981132076,0.2640845070422535
train,糖尿病,0.11275964391691394,0.316769094639802,0.0,0.0,0.0,0.0,1.0,0.09433962264150944,0.11619718309859155
train,冠心病,0.04154302670623145,0.19983920341257796,0.0,0.0,0.0,0.0,1.0,0.05660377358490566,0.03873239436619718
train,结核病史,0.04451038575667656,0.2065327730655562,0.0,0.0,0.0,0.0,1.0,0.07547169811320754,0.03873239436619718
train,甲状腺疾病,0.01483679525222552,0.12107917548991666,0.0,0.0,0.0,0.0,1.0,0.018867924528301886,0.014084507042253521
train,甲状腺手术史,0.05341246290801187,0.22518891320384324,0.0,0.0,0.0,0.0,1.0,0.1509433962264151,0.035211267605633804
train,肺部手术史,0.020771513353115726,0.14283064612263746,0.0,0.0,0.0,0.0,1.0,0.0,0.02464788732394366
train,放化疗史,0.008902077151335312,0.09406959443339351,0.0,0.0,0.0,0.0,1.0,0.03773584905660377,0.0035211267605633804
train,胸部外伤史,0.011869436201780416,0.10845948134135604,0.0,0.0,0.0,0.0,1.0,0.0,0.014084507042253521
train,性别,0.42729970326409494,0.4954220264737812,0.0,0.0,1.0,0.0,1.0,0.11320754716981132,0.4859154929577465
train,年龄,58.560830860534125,9.849915845567363,59.0,52.0,66.0,21.0,81.0,58.660377358490564,58.54225352112676
train,身高,165.2433234421365,7.457029177893482,165.0,160.0,170.0,149.0,186.0,161.62264150943398,165.91901408450704
train,体重,65.7219584569733,10.670154402001627,65.0,58.0,73.0,39.0,110.0,64.44339622641509,65.96056338028168
