dataset,feature,n,missing_n,missing_rate
train,右肺上叶,337,0,0.0
train,右肺中叶,337,0,0.0
train,右肺下叶,337,0,0.0
train,左肺上叶,337,0,0.0
train,左肺下叶,337,0,0.0
train,纵隔肿物,337,0,0.0
train,高血压,337,0,0.0
train,糖尿病,337,0,0.0
train,冠心病,337,0,0.0
train,结核病史,337,0,0.0
train,甲状腺疾病,337,0,0.0
train,甲状腺手术史,337,0,0.0
train,肺部手术史,337,0,0.0
train,放化疗史,337,0,0.0
train,胸部外伤史,337,0,0.0
train,性别,337,0,0.0
train,年龄,337,0,0.0
train,身高,337,0,0.0
train,体重,337,0,0.0
train,bmi,337,0,0.0
tuning,右肺上叶,337,0,0.0
tuning,右肺中叶,337,0,0.0
tuning,右肺下叶,337,0,0.0
tuning,左肺上叶,337,0,0.0
tuning,左肺下叶,337,0,0.0
tuning,纵隔肿物,337,0,0.0
tuning,高血压,337,0,0.0
tuning,糖尿病,337,0,0.0
tuning,冠心病,337,0,0.0
tuning,结核病史,337,0,0.0
tuning,甲状腺疾病,337,0,0.0
tuning,甲状腺手术史,337,0,0.0
tuning,肺部手术史,337,0,0.0
tuning,放化疗史,337,0,0.0
tuning,胸部外伤史,337,0,0.0
tuning,性别,337,0,0.0
tuning,年龄,337,0,0.0
tuning,身高,337,0,0.0
tuning,体重,337,0,0.0
tuning,bmi,337,0,0.0
validation,右肺上叶,85,0,0.0
validation,右肺中叶,85,0,0.0
validation,右肺下叶,85,0,0.0
validation,左肺上叶,85,0,0.0
validation,左肺下叶,85,0,0.0
validation,纵隔肿物,85,0,0.0
validation,高血压,85,0,0.0
validation,糖尿病,85,0,0.0
validation,冠心病,85,0,0.0
validation,结核病史,85,0,0.0
validation,甲状腺疾病,85,0,0.0
validation,甲状腺手术史,85,0,0.0
validation,肺部手术史,85,0,0.0
validation,放化疗史,85,0,0.0
validation,胸部外伤史,85,0,0.0
validation,性别,85,0,0.0
validation,年龄,85,0,0.0
validation,身高,85,0,0.0
validation,体重,85,0,0.0
validation,bmi,85,0,0.0
test,右肺上叶,85,0,0.0
test,右肺中叶,85,0,0.0
test,右肺下叶,85,0,0.0
test,左肺上叶,85,0,0.0
test,左肺下叶,85,0,0.0
test,纵隔肿物,85,0,0.0
test,高血压,85,0,0.0
test,糖尿病,85,0,0.0
test,冠心病,85,0,0.0
test,结核病史,85,0,0.0
test,甲状腺疾病,85,0,0.0
test,甲状腺手术史,85,0,0.0
test,肺部手术史,85,0,0.0
test,放化疗史,85,0,0.0
test,胸部外伤史,85,0,0.0
test,性别,85,0,0.0
test,年龄,85,0,0.0
test,身高,85,0,0.0
test,体重,85,0,0.0
test,bmi,85,0,0.0
external,右肺上叶,21,0,0.0
external,右肺中叶,21,0,0.0
external,右肺下叶,21,0,0.0
external,左肺上叶,21,0,0.0
external,左肺下叶,21,0,0.0
external,纵隔肿物,21,0,0.0
external,高血压,21,0,0.0
external,糖尿病,21,0,0.0
external,冠心病,21,0,0.0
external,结核病史,21,0,0.0
external,甲状腺疾病,21,0,0.0
external,甲状腺手术史,21,0,0.0
external,肺部手术史,21,0,0.0
external,放化疗史,21,0,0.0
external,胸部外伤史,21,0,0.0
external,性别,21,0,0.0
external,年龄,21,0,0.0
external,身高,21,5,0.23809523809523808
external,体重,21,0,0.0
external,bmi,21,5,0.23809523809523808
