feature,pearson_with_outcome
性别,-0.27645711635044856
身高,-0.21259736419340888
甲状腺手术史,0.17581753682534065
体重,-0.09124775699213863
糖尿病,-0.057524568895780864
结核病史,0.044500766563269435
年龄,-0.03741200298949003
左肺上叶,0.03582159767012357
肺部手术史,-0.03199833885798743
胸部外伤史,0.030947750629639236
右肺上叶,0.028939350744583727
甲状腺疾病,-0.02736637882402544
右肺下叶,-0.023566360689723554
bmi,0.020941999238662707
冠心病,-0.010174843525040425
纵隔肿物,0.007391089565310339
右肺中叶,0.005522183062296138
高血压,-0.004184463944708106
放化疗史,0.0033951118834203097
左肺下叶,0.0017325057100291946
