,右肺上叶,右肺中叶,右肺下叶,左肺上叶,左肺下叶,纵隔肿物,高血压,糖尿病,冠心病,结核病史,甲状腺疾病,甲状腺手术史,肺部手术史,放化疗史,胸部外伤史,性别,年龄,身高,体重,bmi,左旋标签
右肺上叶,1.0,-0.22183803189370144,-0.439684533389246,-0.12342735416311955,-0.19918389050204366,-0.27853093886520774,0.02228015358183104,0.07843187863361424,0.00773552733825051,0.03384493408851714,-0.026145446023454918,0.009207362736366959,0.014697010035886852,-0.015786993411722544,0.00440122240569233,-0.036415829324561465,0.07541415833737353,-0.057218949684271936,-0.06792919060809537,-0.04428598534699325,0.028939350744583727
右肺中叶,-0.22183803189370144,1.0,0.017717467582288822,-0.01646451958152768,-0.060281314943554876,-0.11808435018207374,0.0327287302187522,-0.031188279552249176,0.04533435644615703,0.0038445222062985064,0.04609845445528769,0.015474799552889707,-0.01739936325623348,0.052472139701084525,0.025793533732581284,-0.058536866275397045,0.07439356223923044,-0.06681561608643016,-0.09648867965640666,-0.06920872106461742,0.005522183062296138
右肺下叶,-0.439684533389246,0.017717467582288822,1.0,-0.06604526900460214,-0.12873973621916748,-0.1825113210812163,-0.021269222824440433,-3.519956679419496e-05,-0.06959248626232738,-0.012169438747530504,-0.03172348603423256,0.018144680863310513,-0.0014263289821382164,0.03724492336950644,0.016288446486930803,0.002590931462973406,0.007711960522079489,0.047530417257845715,-0.04176359948189267,-0.08100916016943527,-0.023566360689723554
左肺上叶,-0.12342735416311955,-0.01646451958152768,-0.06604526900460214,1.0,0.0782039605722932,0.03466104294475981,-0.04326997527041662,-0.05324977701702564,0.013652201937063912,0.01570594698027437,0.12371272343072637,0.009001875217871092,0.030095135042903346,-0.016694514082354443,-0.016694514082354443,-0.022651589725070507,0.01008143819333664,-0.020652622188643322,0.008134745918244495,0.022705988669576828,0.03582159767012357
左肺下叶,-0.19918389050204366,-0.060281314943554876,-0.12873973621916748,0.0782039605722932,1.0,-0.017120960924334544,0.007213510338726359,-0.004164343462322864,-0.03687853186477682,-0.0002526721217271783,0.0916456197730118,-0.039478642357594074,0.05660407693146192,-0.0209824894457685,0.03804824752832689,0.008362176353201009,-0.0441944178210363,0.001579184833318042,0.01733547356542929,0.01554376395391354,0.0017325057100291946
纵隔肿物,-0.27853093886520774,-0.11808435018207374,-0.1825113210812163,0.03466104294475981,-0.017120960924334544,1.0,-0.03457763520798505,-0.027682405561848488,0.04065141448231944,-0.02894138287044461,-0.0327005079308728,-0.03655614915083681,-0.043759834791362424,-0.03139874531570005,0.009497151360921599,0.013291031146486814,-0.19493618074969724,0.009709160053090336,0.10344100325863848,0.11326477326762693,0.007391089565310339
高血压,0.02228015358183104,0.0327287302187522,-0.021269222824440433,-0.04326997527041662,0.007213510338726359,-0.03457763520798505,1.0,0.2962502041460708,0.20769711281891554,-0.03978725306437312,0.07869485639443193,-0.021759442471713686,0.016179991600043204,-0.07152882210447274,0.042291550927531334,0.022662746997782222,0.31106844794666866,-0.01687130312656083,0.10558243737828953,0.14690878412997313,-0.004184463944708106
糖尿病,0.07843187863361424,-0.031188279552249176,-3.519956679419496e-05,-0.05324977701702564,-0.004164343462322864,-0.027682405561848488,0.2962502041460708,1.0,0.09466611134227429,0.04779022182254012,-0.04791198177047893,0.06192766241665074,-0.020545976462826403,-0.016044839005621037,0.013914993119919117,0.08356475404056554,0.18975957847583824,0.0536032496334125,0.09542128433249787,0.08500755532215919,-0.057524568895780864
冠心病,0.00773552733825051,0.04533435644615703,-0.06959248626232738,0.013652201937063912,-0.03687853186477682,0.04065141448231944,0.20769711281891554,0.09466611134227429,1.0,-0.04324565895788698,0.021210881912070864,-0.02042257250165727,-0.03532953402923586,-0.02534979956837713,-0.025349799568377105,0.05389437991023539,0.14697075894743702,0.004480654733269735,0.08316540546316196,0.10827490406648252,-0.010174843525040425
结核病史,0.03384493408851714,0.0038445222062985064,-0.012169438747530504,0.01570594698027437,-0.0002526721217271783,-0.02894138287044461,-0.03978725306437312,0.04779022182254012,-0.04324565895788698,1.0,0.07223769608071226,-0.018265477097063942,-0.034291721545935315,-0.02460514388117059,-0.02460514388117058,0.018032750158156627,-0.0023216162338738477,0.033772119621336104,-0.047585228946185554,-0.07634028120857053,0.044500766563269435
甲状腺疾病,-0.026145446023454918,0.04609845445528769,-0.03172348603423256,0.12371272343072637,0.0916456197730118,-0.0327005079308728,0.07869485639443193,-0.04791198177047893,0.021210881912070864,0.07223769608071226,1.0,-0.02826215799924879,-0.020934543916155887,-0.015021044203152766,-0.015021044203152766,-0.05659984225385537,0.07497717287922466,-0.04393481614077187,-0.01691536753452301,0.010201868271791401,-0.02736637882402544
甲状腺手术史,0.009207362736366959,0.015474799552889707,0.018144680863310513,0.009001875217871092,-0.039478642357594074,-0.03655614915083681,-0.021759442471713686,0.06192766241665074,-0.02042257250165727,-0.018265477097063942,-0.02826215799924879,1.0,-0.003970543853411267,-0.02713708004066471,-0.027137080040664712,-0.08523024905543847,0.022714367442607276,-0.04317682561257225,-0.048588143052156946,-0.02912866311496548,0.17581753682534065
肺部手术史,0.014697010035886852,-0.01739936325623348,-0.0014263289821382164,0.030095135042903346,0.05660407693146192,-0.043759834791362424,0.016179991600043204,-0.020545976462826403,-0.03532953402923586,-0.034291721545935315,-0.020934543916155887,-0.003970543853411267,1.0,0.04136762167540091,0.04136762167540092,0.007426515436425188,0.05078832114639548,-0.004488787772681179,-0.03354293225971063,-0.034079822308457436,-0.03199833885798743
放化疗史,-0.015786993411722544,0.052472139701084525,0.03724492336950644,-0.016694514082354443,-0.0209824894457685,-0.03139874531570005,-0.07152882210447274,-0.016044839005621037,-0.02534979956837713,-0.02460514388117059,-0.015021044203152766,-0.02713708004066471,0.04136762167540091,1.0,-0.014423076923076927,0.07085066537812233,0.0334556605795895,0.03341284858505449,0.02149673596563253,0.004562627171590712,0.0033951118834203097
胸部外伤史,0.00440122240569233,0.025793533732581284,0.016288446486930803,-0.016694514082354443,0.03804824752832689,0.009497151360921599,0.042291550927531334,0.013914993119919117,-0.025349799568377105,-0.02460514388117058,-0.015021044203152766,-0.027137080040664712,0.04136762167540092,-0.014423076923076927,1.0,0.010570462173348893,0.04355602455482702,-0.032723277601122806,-0.019461082589279,-0.0012558843936374187,0.030947750629639236
性别,-0.036415829324561465,-0.058536866275397045,0.002590931462973406,-0.022651589725070507,0.008362176353201009,0.013291031146486814,0.022662746997782222,0.08356475404056554,0.05389437991023539,0.018032750158156627,-0.05659984225385537,-0.08523024905543847,0.007426515436425188,0.07085066537812233,0.010570462173348893,1.0,0.02617733440026568,0.7368087499584312,0.4680966999000658,0.0855009297374694,-0.27645711635044856
年龄,0.07541415833737353,0.07439356223923044,0.007711960522079489,0.01008143819333664,-0.0441944178210363,-0.19493618074969724,0.31106844794666866,0.18975957847583824,0.14697075894743702,-0.0023216162338738477,0.07497717287922466,0.022714367442607276,0.05078832114639548,0.0334556605795895,0.04355602455482702,0.02617733440026568,1.0,-0.08796338801531185,-0.10259955959680093,-0.05485579681932953,-0.03741200298949003
身高,-0.057218949684271936,-0.06681561608643016,0.047530417257845715,-0.020652622188643322,0.001579184833318042,0.009709160053090336,-0.01687130312656083,0.0536032496334125,0.004480654733269735,0.033772119621336104,-0.04393481614077187,-0.04317682561257225,-0.004488787772681179,0.03341284858505449,-0.032723277601122806,0.7368087499584312,-0.08796338801531185,1.0,0.576431067887946,0.03898732309372965,-0.21259736419340888
体重,-0.06792919060809537,-0.09648867965640666,-0.04176359948189267,0.008134745918244495,0.01733547356542929,0.10344100325863848,0.10558243737828953,0.09542128433249787,0.08316540546316196,-0.047585228946185554,-0.01691536753452301,-0.048588143052156946,-0.03354293225971063,0.02149673596563253,-0.019461082589279,0.4680966999000658,-0.10259955959680093,0.576431067887946,1.0,0.8348551178595411,-0.09124775699213863
bmi,-0.04428598534699325,-0.06920872106461742,-0.08100916016943527,0.022705988669576828,0.01554376395391354,0.11326477326762693,0.14690878412997313,0.08500755532215919,0.10827490406648252,-0.07634028120857053,0.010201868271791401,-0.02912866311496548,-0.034079822308457436,0.004562627171590712,-0.0012558843936374187,0.0855009297374694,-0.05485579681932953,0.03898732309372965,0.8348551178595411,1.0,0.020941999238662707
左旋标签,0.028939350744583727,0.005522183062296138,-0.023566360689723554,0.03582159767012357,0.0017325057100291946,0.007391089565310339,-0.004184463944708106,-0.057524568895780864,-0.010174843525040425,0.044500766563269435,-0.02736637882402544,0.17581753682534065,-0.03199833885798743,0.0033951118834203097,0.030947750629639236,-0.27645711635044856,-0.03741200298949003,-0.21259736419340888,-0.09124775699213863,0.020941999238662707,1.0
