feature,rule_type,split_value,rule_label,source_comparison
体重,numeric_gt,58.0,体重 > 58.0000,FN_vs_TP
体重,numeric_gt,61.0,体重 > 61.0000,FN_vs_TP
体重,numeric_gt,65.0,体重 > 65.0000,FN_vs_TP
体重,numeric_gt,70.0,体重 > 70.0000,FN_vs_TP
体重,numeric_gt,76.0,体重 > 76.0000,FN_vs_TP
身高,numeric_gt,160.0,身高 > 160.0000,FN_vs_TP
身高,numeric_gt,162.6,身高 > 162.6000,FN_vs_TP
身高,numeric_gt,165.0,身高 > 165.0000,FN_vs_TP
身高,numeric_gt,170.0,身高 > 170.0000,FN_vs_TP
身高,numeric_gt,174.0,身高 > 174.0000,FN_vs_TP
bmi,numeric_gt,21.09375,bmi > 21.0938,FN_vs_TP
bmi,numeric_gt,22.65625,bmi > 22.6562,FN_vs_TP
bmi,numeric_gt,23.87543253,bmi > 23.8754,FN_vs_TP
bmi,numeric_gt,25.390625,bmi > 25.3906,FN_vs_TP
bmi,numeric_gt,26.836402275999998,bmi > 26.8364,FN_vs_TP
甲状腺手术史,numeric_le,0.0,甲状腺手术史 <= 0.0000,FN_vs_TP
胸部外伤史,numeric_gt,0.0,胸部外伤史 > 0.0000,FN_vs_TP
年龄,numeric_le,52.0,年龄 <= 52.0000,FN_vs_TP
年龄,numeric_le,57.0,年龄 <= 57.0000,FN_vs_TP
年龄,numeric_le,60.0,年龄 <= 60.0000,FN_vs_TP
年龄,numeric_le,65.0,年龄 <= 65.0000,FN_vs_TP
年龄,numeric_le,68.0,年龄 <= 68.0000,FN_vs_TP
性别,categorical_ne,女,性别 != 女,FN_vs_TP
性别,categorical_eq,男,性别 == 男,FN_vs_TP
身高,numeric_le,160.0,身高 <= 160.0000,FP_vs_TN
身高,numeric_le,162.6,身高 <= 162.6000,FP_vs_TN
身高,numeric_le,165.0,身高 <= 165.0000,FP_vs_TN
身高,numeric_le,170.0,身高 <= 170.0000,FP_vs_TN
身高,numeric_le,174.0,身高 <= 174.0000,FP_vs_TN
体重,numeric_le,58.0,体重 <= 58.0000,FP_vs_TN
体重,numeric_le,61.0,体重 <= 61.0000,FP_vs_TN
体重,numeric_le,65.0,体重 <= 65.0000,FP_vs_TN
体重,numeric_le,70.0,体重 <= 70.0000,FP_vs_TN
体重,numeric_le,76.0,体重 <= 76.0000,FP_vs_TN
冠心病,numeric_le,0.0,冠心病 <= 0.0000,FP_vs_TN
bmi,numeric_le,21.09375,bmi <= 21.0938,FP_vs_TN
bmi,numeric_le,22.65625,bmi <= 22.6562,FP_vs_TN
bmi,numeric_le,23.87543253,bmi <= 23.8754,FP_vs_TN
bmi,numeric_le,25.390625,bmi <= 25.3906,FP_vs_TN
bmi,numeric_le,26.836402275999998,bmi <= 26.8364,FP_vs_TN
甲状腺疾病,numeric_gt,0.0,甲状腺疾病 > 0.0000,FP_vs_TN
放化疗史,numeric_gt,0.0,放化疗史 > 0.0000,FP_vs_TN
性别,categorical_eq,女,性别 == 女,FP_vs_TN
性别,categorical_ne,男,性别 != 男,FP_vs_TN
