comparison,feature,group_a_mean,group_b_mean,mean_diff,abs_std_diff,group_a_count,group_b_count
FN_vs_TP,体重,81.44444444444444,61.23863636363637,20.205808080808076,1.6723485891215073,9,44
FN_vs_TP,身高,172.66666666666666,160.5,12.166666666666657,1.5843324471932845,9,44
FN_vs_TP,bmi,27.297963273333337,23.704621669545453,3.5933416037878843,1.0303951658229078,9,44
FN_vs_TP,甲状腺手术史,0.0,0.20454545454545456,-0.20454545454545456,0.8868075325439955,9,44
FN_vs_TP,胸部外伤史,0.1111111111111111,0.022727272727272728,0.08838383838383837,0.66836413498296,9,44
FN_vs_TP,年龄,54.0,59.52272727272727,-5.522727272727273,0.5518156009363017,9,44
FN_vs_TP,右肺中叶,0.0,0.18181818181818182,-0.18181818181818182,0.5157900113849919,9,44
FN_vs_TP,右肺下叶,0.5555555555555556,0.38636363636363635,0.16919191919191923,0.3526874101003805,9,44
FN_vs_TP,左肺上叶,0.0,0.045454545454545456,-0.045454545454545456,0.3187140654321289,9,44
FN_vs_TP,结核病史,0.1111111111111111,0.045454545454545456,0.06565656565656565,0.31837173013953096,9,44
FN_vs_TP,纵隔肿物,0.0,0.06818181818181818,-0.06818181818181818,0.28206246074873786,9,44
FN_vs_TP,肺部手术史,0.0,0.045454545454545456,-0.045454545454545456,0.24528721741961146,9,44
FN_vs_TP,高血压,0.2222222222222222,0.3181818181818182,-0.09595959595959597,0.21260534258167305,9,44
FN_vs_TP,右肺上叶,0.6666666666666666,0.5681818181818182,0.0984848484848484,0.19908540429482496,9,44
FN_vs_TP,左肺下叶,0.0,0.022727272727272728,-0.022727272727272728,0.14096751623948212,9,44
FN_vs_TP,冠心病,0.0,0.022727272727272728,-0.022727272727272728,0.11389691090806846,9,44
FN_vs_TP,糖尿病,0.1111111111111111,0.09090909090909091,0.020202020202020193,0.05549164472385725,9,44
FN_vs_TP,甲状腺疾病,0.0,0.0,0.0,0.0,9,44
FN_vs_TP,放化疗史,0.0,0.0,0.0,0.0,9,44
FP_vs_TN,身高,161.76470588235293,171.75675675675674,-9.992050874403816,1.301155924464987,136,148
FP_vs_TN,体重,62.11029411764706,72.67567567567568,-10.56538155802862,0.8744515869613728,136,148
FP_vs_TN,冠心病,0.007352941176470588,0.08108108108108109,-0.0737281399046105,0.36948592481385323,136,148
FP_vs_TN,bmi,23.72551590338235,24.6210567872973,-0.895540883914947,0.25679746022755423,136,148
FP_vs_TN,甲状腺疾病,0.03676470588235294,0.006756756756756757,0.030007949125596185,0.22692199531819848,136,148
FP_vs_TN,放化疗史,0.03676470588235294,0.006756756756756757,0.030007949125596185,0.22692199531819832,136,148
FP_vs_TN,甲状腺手术史,0.058823529411764705,0.013513513513513514,0.04531001589825119,0.19644173216925812,136,148
FP_vs_TN,右肺下叶,0.39705882352941174,0.30405405405405406,0.09300476947535768,0.19387220991351853,136,148
FP_vs_TN,糖尿病,0.1323529411764706,0.20270270270270271,-0.07034976152623212,0.19323928666457693,136,148
FP_vs_TN,高血压,0.2426470588235294,0.31756756756756754,-0.07492050874403813,0.16599174130147645,136,148
FP_vs_TN,肺部手术史,0.022058823529411766,0.0472972972972973,-0.025238473767885534,0.13619485005373497,136,148
FP_vs_TN,结核病史,0.029411764705882353,0.05405405405405406,-0.024642289348171705,0.11949160325280919,136,148
FP_vs_TN,年龄,59.10294117647059,60.11486486486486,-1.0119236883942762,0.10110861004679225,136,148
FP_vs_TN,胸部外伤史,0.007352941176470588,0.02027027027027027,-0.012917329093799683,0.09768165361379398,136,148
FP_vs_TN,右肺中叶,0.15441176470588236,0.13513513513513514,0.019276629570747217,0.05468481142167988,136,148
FP_vs_TN,右肺上叶,0.5808823529411765,0.5608108108108109,0.02007154213036566,0.040574272503036087,136,148
FP_vs_TN,左肺上叶,0.014705882352941176,0.02027027027027027,-0.005564387917329095,0.03901587128501419,136,148
FP_vs_TN,纵隔肿物,0.058823529411764705,0.06756756756756757,-0.008744038155802866,0.03617335214689698,136,148
FP_vs_TN,左肺下叶,0.029411764705882353,0.02702702702702703,0.002384737678855324,0.014791504088721484,136,148
