variant,stage,accepted,decision,reasons,objective_gain,bootstrap_improvement_probability,seed_support,terminal_stage
full,round8,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low,0.00011660264755075644,0.508,3.0,round9
full,round9,1,continue,all_pre_registered_gates_passed,0.02313636858100221,0.834,3.0,round9
full,round10,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low|bo_seed_support_too_low|core_metric_degradation,-0.019494087451120135,0.25,1.0,round9
no_guardrail,round8,0,reject_and_keep_simpler_stage,bootstrap_support_too_low,0.0030282732603380547,0.671,3.0,upstream
no_guardrail,round9,0,reject_and_keep_simpler_stage,bootstrap_support_too_low,0.02165005795358177,0.71,3.0,upstream
no_guardrail,round10,0,reject_and_keep_simpler_stage,bootstrap_support_too_low|core_metric_degradation,0.012527301812551683,0.619,3.0,upstream
no_catboost,round8,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low,0.00011660264755075644,0.508,3.0,round9
no_catboost,round9,1,continue,all_pre_registered_gates_passed,0.02313636858100221,0.834,3.0,round9
no_catboost,round10,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low|bo_seed_support_too_low|core_metric_degradation,-0.019494087451120135,0.25,1.0,round9
equal_family_weights,round8,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low,-3.08969491837896e-05,0.428,2.0,round9
equal_family_weights,round9,1,continue,all_pre_registered_gates_passed,0.023023882167673815,0.832,3.0,round9
equal_family_weights,round10,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low|bo_seed_support_too_low|core_metric_degradation,-0.0202872421450071,0.238,1.0,round9
no_round8,round8,0,forced_disabled_ablation,variant_definition_disables_round8,,,,round9
no_round8,round9,1,continue,all_pre_registered_gates_passed,0.02313636858100221,0.834,3.0,round9
no_round8,round10,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low|bo_seed_support_too_low|core_metric_degradation,-0.019494087451120135,0.25,1.0,round9
no_round9_seed,round8,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low,0.00011660264755075644,0.508,3.0,round9
no_round9_seed,round9,1,continue,all_pre_registered_gates_passed,0.02313636858100221,0.834,3.0,round9
no_round9_seed,round10,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low|bo_seed_support_too_low|core_metric_degradation,-0.019494087451120135,0.25,1.0,round9
no_local_rules,round8,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low,0.00011660264755075644,0.508,3.0,round8
no_local_rules,round9,1,continue,all_pre_registered_gates_passed,0.02313636858100221,0.834,3.0,round8
no_local_rules,round10,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low|bo_seed_support_too_low|core_metric_degradation,-0.019494087451120135,0.25,1.0,round8
no_aux_rule,round8,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low,0.00011660264755075644,0.508,3.0,primary_only
no_aux_rule,round9,1,continue,all_pre_registered_gates_passed,0.02313636858100221,0.834,3.0,primary_only
no_aux_rule,round10,0,reject_and_keep_simpler_stage,objective_gain_below_complexity_margin|bootstrap_support_too_low|bo_seed_support_too_low|core_metric_degradation,-0.019494087451120135,0.25,1.0,primary_only
