id,y_true,dataset_role
89,1,train
843,0,train
167,0,train
11,0,train
35,0,train
477,0,train
615,1,train
122,0,train
807,0,train
540,1,train
49,0,train
742,0,train
357,0,train
780,0,train
10,0,train
358,0,train
395,0,train
465,0,train
281,1,train
655,0,train
168,1,train
150,0,train
649,0,train
436,0,train
567,0,train
262,0,train
657,0,train
804,0,train
469,0,train
12,1,train
274,0,train
730,0,train
111,0,train
361,0,train
119,0,train
435,0,train
708,0,train
830,0,train
199,0,train
726,1,train
735,0,train
541,0,train
699,0,train
554,0,train
666,1,train
716,0,train
371,0,train
81,0,train
80,0,train
174,0,train
410,0,train
238,0,train
632,0,train
349,1,train
473,0,train
98,0,train
598,1,train
420,0,train
310,0,train
530,0,train
236,0,train
496,0,train
630,0,train
193,0,train
367,0,train
665,0,train
109,0,train
276,0,train
271,0,train
673,0,train
57,0,train
653,1,train
718,0,train
647,1,train
383,0,train
272,1,train
602,0,train
707,1,train
682,0,train
74,0,train
185,0,train
820,0,train
94,1,train
187,0,train
345,0,train
63,0,train
671,1,train
257,1,train
231,0,train
13,1,train
509,0,train
738,0,train
278,1,train
670,0,train
384,0,train
626,0,train
546,0,train
714,0,train
88,0,train
812,0,train
650,0,train
374,0,train
752,0,train
413,0,train
723,0,train
101,0,train
225,0,train
527,1,train
299,1,train
50,0,train
599,0,train
323,0,train
105,1,train
306,0,train
219,0,train
414,0,train
765,1,train
178,0,train
844,0,train
1,0,train
267,0,train
628,0,train
583,0,train
839,0,train
520,0,train
393,1,train
461,0,train
138,0,train
162,1,train
372,0,train
825,0,train
103,0,train
359,0,train
139,0,train
415,0,train
344,0,train
160,0,train
234,1,train
642,1,train
494,0,train
545,0,train
280,1,train
522,0,train
421,0,train
127,0,train
338,0,train
710,0,train
153,0,train
202,0,train
64,0,train
837,0,train
423,1,train
749,0,train
25,0,train
287,0,train
198,0,train
587,0,train
813,0,train
126,0,train
588,0,train
327,1,train
206,0,train
760,0,train
154,0,train
709,0,train
417,0,train
534,0,train
646,0,train
315,0,train
252,0,train
165,1,train
478,0,train
399,0,train
8,0,train
223,0,train
340,0,train
692,0,train
265,0,train
744,0,train
454,0,train
600,0,train
694,0,train
727,1,train
215,1,train
303,0,train
68,0,train
61,0,train
216,0,train
432,1,train
640,0,train
841,0,train
386,0,train
688,0,train
92,0,train
339,0,train
173,1,train
636,0,train
715,0,train
558,0,train
831,0,train
429,0,train
610,0,train
576,0,train
67,1,train
51,0,train
311,0,train
753,0,train
754,1,train
468,0,train
28,0,train
23,0,train
644,0,train
44,0,train
301,0,train
445,0,train
83,0,train
269,0,train
332,0,train
638,0,train
58,0,train
591,0,train
577,0,train
770,0,train
282,1,train
335,0,train
672,1,train
403,0,train
114,1,train
608,0,train
536,0,train
136,0,train
464,0,train
550,0,train
256,0,train
631,0,train
460,0,train
38,0,train
130,1,train
14,0,train
291,0,train
506,0,train
448,0,train
292,0,train
836,0,train
472,0,train
500,0,train
778,0,train
355,0,train
343,0,train
